tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2010-05-07,1230,ESCOBAR Nº 2,Buenos Aires,Nacional,2010,22,FURGON,29,MERCEDES BENZ,BK,SPRINTER 413 CDI/F 4025,1,Privado,Física,ESCOBAR,BUENOS AIRES,No identificado,1986,BOLIVIA,50,06,202
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2008-10-22,1230,ESCOBAR Nº 2,Buenos Aires,Nacional,2008,12,SEDAN 4 PTAS,37,RENAULT,VC,KANGOO SPORTWAY 1.5 ABCP 2P,1,Privado,Física,ESCOBAR,BUENOS AIRES,Masculino,1986,BOLIVIA,100,06,202
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2018-03-26,1236,OLIVOS Nº 09,Buenos Aires,Nacional,2018,12,SEDAN 4 PUERTAS,37,RENAULT,2K,NUEVO LOGAN PRIVILEGE 1.6 16V,1,Privado,Física,FLORIDA OESTE,BUENOS AIRES,Masculino,1960,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2018-05-30,1238,TIGRE Nº 4,Buenos Aires,Protocolo 21,2018,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,526,MOVE UP! 1.0 MPI,1,Privado,Física,TRONCOS DEL TALAR,BUENOS AIRES,Femenino,1970,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2019-06-19,1244,LA MATANZA Nº 11,Buenos Aires,Protocolo 21,2019,04,RURAL 5 PUERTAS,027,CITROEN,490,C3 AIRCROSS VTI 115 FEEL AM19,1,Privado,Física,RAMOS MEJÍA,BUENOS AIRES,Masculino,1973,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2022-03-21,1245,LA PLATA Nº 11,Buenos Aires,Nacional,2022,20,PICK-UP,53,VOLKSWAGEN,8K,AMAROK COMFORTLINE 4X2 2.0L TDI 180 CV,1,Privado,Física,LA PLATA,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2023-07-11,1248,SAN ISIDRO Nº 09,Buenos Aires,Nacional,2023,26,CHASIS CON CABINA,29,MERCEDES BENZ,GL,SPRINTER 416 CDI CHASIS 3665,1,Privado,Física,MARTÍNEZ,BUENOS AIRES,Masculino,1976,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2019-09-05,1254,CHIVILCOY Nº 2,Buenos Aires,Protocolo 21,2019,05,SEDAN 5 PUERTAS,104,PEUGEOT,861,208 ALLURE 1.6 115,1,Privado,Física,CHIVILCOY,BUENOS AIRES,Femenino,1992,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2010-10-20,1260,FLORENCIO VARELA Nº 3,Buenos Aires,Protocolo 21,2010,05,SEDAN 5 PTAS,047,FORD,722,FIESTA AMBIENTE MP3,1,Privado,Física,FCIO.VARELA,BUENOS AIRES,No identificado,1977,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2013-05-02,1264,ADROGUE Nº 5,Buenos Aires,Protocolo 21,2013,05,SEDAN 5 PTAS,027,CITROEN,283,NUEVO C3 1.6 VTI 115 EXCLUSIVE,1,Privado,Física,LONGCHAMPS,BUENOS AIRES,Masculino,1935,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2004-10-18,1266,MALVINAS ARGENTINAS Nº 3,Buenos Aires,Protocolo 21,2004,22,SEDAN 3 PTAS,127,SUZUKI,698,FUN 1.0,1,Privado,Física,LOS POLVORINES,BUENOS AIRES,Masculino,1975,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2011-09-15,1269,LA MATANZA Nº 12,Buenos Aires,Importado,2011,02,SEDAN 4 PTAS,024,CHEVROLET,483,AVEO LT 1.6N MT,1,Privado,Física,ALDO BONZI-LA MATANZA,BUENOS AIRES,Masculino,1979,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2017-09-21,1271,JOSE C. PAZ Nº 2,Buenos Aires,Protocolo 21,2017,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,577,GOL TREND 1.6 MSI,1,Privado,Física,JOSE C PAZ,BUENOS AIRES,Masculino,1995,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,1998-04-06,1273,MORENO Nº 4,Buenos Aires,Protocolo 21,1998,17,CAMION VOLCADOR,092,MERCEDES BENZ,265,L-1620,1,Privado,Física,MORENO,BUENOS AIRES,Masculino,1946,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2014-04-15,1273,MORENO Nº 4,Buenos Aires,Nacional,2014,22,FURGON,37,RENAULT,ZL,KANGOO PH3 CONFORT 1.6 1P,1,Privado,Física,MORENO,BUENOS AIRES,Masculino,1968,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2018-05-03,1273,MORENO Nº 4,Buenos Aires,Protocolo 21,2018,05,SEDAN 5 PUERTAS,136,VOLKSWAGEN,577,GOL TREND 1.6 MSI,1,Privado,Física,TRUJUI,BUENOS AIRES,Femenino,1991,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2004-02-12,1273,MORENO Nº 4,Buenos Aires,Importado,2004,12,FAMILIAR,025,CHRYSLER,125,GRAND CARAVAN LIMITED /2004,1,Privado,Física,Bº LAS CATONAS-MORENO,BUENOS AIRES,No identificado,1968,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - LEVANTAMIENTO,2025-04-01,2005-12-15,1273,MORENO Nº 4,Buenos Aires,Nacional,2005,22,FURGON,29,MERCEDES BENZ,AV,SPRINTER 313 CDI/F 3550,1,Privado,Física,TRUJUI,BUENOS AIRES,No identificado,1987,BOLIVIA,100,06,202
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2013-03-21,1280,ESCOBAR Nº 3 (EX. INGENIERO MASCHWITZ),Buenos Aires,Nacional,2013,17,SEDAN 5 PTAS,17,FIAT,BN,PALIO (326) ESSENCE 5P 1.6 16V,1,Privado,Física,ING MASCHWITZ ESCOBAR,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2011-04-29,1288,MORENO Nº 5,Buenos Aires,Protocolo 21,2011,02,SEDAN 4 PTAS,112,RENAULT,772,LOGAN PH2 PACK 1.6 8V,1,Privado,Física,CUARTEL V,BUENOS AIRES,Masculino,1943,CHILE,100,06,208
MEDIDAS JUDICIALES - ANOTACION,2025-04-01,2015-10-05,1291,CAMPANA Nº 3,Buenos Aires,Nacional,2015,12,SEDAN 4 PUERTAS,17,FIAT,AZ,SIENA (F4) EL 1.4 8V,1,Privado,Física,CAMPANA,BUENOS AIRES,Masculino,1983,ARGENTINA,100,06,200
